Title,Description,Sprint,Labels,Priority
"Crear estructura inicial del proyecto","Crear carpetas src/, entities/, repositories/, services/, view/, db/, config/, core/, tests/. Generar main.py, README.md, requirements.txt y .gitignore.","Sprint 1","setup,backend","Alta"
"Configurar entorno y dependencias","Definir requirements.txt (bcrypt; psycopg2-binary comentado), crear entorno virtual y comprobar ejecución python main.py.","Sprint 1","setup,dependencies","Media"
"Implementar configuración global","Archivo config/settings.py con DB_ENGINE, DB_PATH y APP_TITLE; preparado para variables de entorno.","Sprint 1","config,backend","Media"
"Clase Database (SQLite + preparada para PostgreSQL)","Implementar src/db/database.py con métodos connect(), execute(), fetchone(), fetchall(), transaction().","Sprint 1","database,backend","Alta"
"Sistema de migraciones inicial","Crear db/migrations/001_init.sql y migrate.py. Generar usuario admin/admin con bcrypt.","Sprint 1","database,migrations","Alta"
"Entidad Usuario","Crear entities/usuario.py con atributos id, username, password_hash, is_active, created_at.","Sprint 2","entities,backend","Media"
"UsuarioRepository","Crear repositories/usuario_repo.py con CRUD y get_by_username().","Sprint 2","repository,backend","Media"
"AuthService","Crear services/auth_service.py con método authenticate(username, password) usando bcrypt.","Sprint 2","service,auth,backend","Alta"
"LoginScreen","Crear view/screens/login_screen.py. Form usuario/contraseña, botón Ingresar. Al autenticar → Dashboard.","Sprint 2","ui,frontend","Alta"
"Migración Terrenos","db/migrations/002_terrenos.sql: tabla terrenos con id, loteo_id, manzana, numero_lote, nomenclatura_catastral, partida_inmobiliaria, superficie_m2, direccion, ciudad, provincia, servicios_json, estado.","Sprint 3","migrations,database","Alta"
"Entidad Terreno","entities/terreno.py (dataclass) con los campos definidos.","Sprint 3","entities,backend","Alta"
"TerrenoRepository","repositories/terreno_repo.py con CRUD y list_disponibles().","Sprint 3","repository,backend","Alta"
"TerrenoService","services/terreno_service.py con validaciones de campos y estados válidos.","Sprint 3","service,backend","Media"
"TerrenosScreen (ABM)","view/screens/terrenos_screen.py con Treeview + formulario lateral. Botones Nuevo, Guardar, Eliminar, Volver.","Sprint 3","ui,frontend","Alta"
"Migración Edificaciones","db/migrations/003_edificaciones.sql con tabla edificaciones (sin terreno_id).","Sprint 4","migrations,database","Alta"
"Migración tabla puente edificacion_terreno","db/migrations/004_edificacion_terreno.sql con tabla edificacion_terreno(edificacion_id, terreno_id, porcentaje_afectacion) y triggers de integridad.","Sprint 4","migrations,database","Alta"
"Entidad Edificación","entities/edificacion.py (dataclass) con atributos tipo, sup_cubierta_m2, ambientes, habitaciones, banos, cochera, patio, pileta, estado, observaciones.","Sprint 4","entities,backend","Alta"
"EdificacionRepository","repositories/edificacion_repo.py CRUD completo.","Sprint 4","repository,backend","Alta"
"EdificacionTerrenoRepository","repositories/edificacion_terreno_repo.py con add_terrenos(), replace_terrenos(), remove_terreno(), list_terrenos().","Sprint 4","repository,backend","Alta"
"EdificacionService","services/edificacion_service.py con transacciones, validaciones y reglas de negocio. Métodos crear_edificacion(), actualizar_edificacion(), eliminar_edificacion(), obtener_con_terrenos().","Sprint 4","service,backend","Alta"
"EdificacionesScreen (ABM + selector múltiple Terrenos)","view/screens/edificaciones_screen.py con formulario + selector múltiple (disponibles ↔ asignados).","Sprint 4","ui,frontend","Alta"
"ABM Loteos","entities/loteo.py, repositories/loteo_repo.py, services/loteo_service.py, view/screens/loteos_screen.py. CRUD completo y botón 'Loteos' en Dashboard.","Sprint 5","entities,repository,service,ui","Media"
"Modelo Reservas polimórfico","db/migrations/005_reservas.sql: tabla reservas(id, target_type {TERRENO, EDIFICACION}, target_id, persona_id, fecha_reserva, observaciones) + validaciones en servicio.","Sprint 6","migrations,backend","Alta"
"ReservaRepository y ReservaService","repositories/reserva_repo.py y services/reserva_service.py con validaciones y reglas de estado.","Sprint 6","repository,service,backend","Alta"
"ReservasScreen","view/screens/reservas_screen.py: selector 'Qué reservo' (Terreno o Edificación), CRUD y listado.","Sprint 6","ui,frontend","Media"
"FrameManager (router de pantallas)","core/frame_manager.py con push() y pop().","Sprint 7","core,ui,frontend","Alta"
"DashboardScreen","view/screens/dashboard_screen.py con botones Terrenos, Edificaciones, Loteos, Reservas, Cerrar sesión.","Sprint 7","ui,frontend","Alta"
"Widget Table y Form base","view/widgets/table.py (Treeview wrapper) y form genérico opcional.","Sprint 7","ui,frontend","Media"
"Logout","Cerrar sesión y volver a Login sin cerrar aplicación.","Sprint 7","auth,ui,frontend","Media"
"Tests Repositories","tests/test_repositories.py: CRUD de Terrenos, Edificaciones, Puente, Reservas.","Sprint 8","testing,backend","Media"
"Tests Services","tests/test_services.py: crear/editar edificación con varios terrenos y reservas.","Sprint 8","testing,backend","Media"
"Linter y formateo","Aplicar black o flake8 y cumplir PEP8.","Sprint 8","quality,backend","Baja"
"Documentación","Actualizar README con instalación, migraciones y ejecución.","Sprint 8","documentation","Media"
"PostgresDatabase","Implementar clase para psycopg2 + connection pool + variables de entorno.","Sprint 9","database,backend","Media"
"Settings multi-engine y migraciones compatibles","Actualizar config/settings.py y adaptaciones necesarias.","Sprint 9","config,backend","Media"
".env.example","Agregar archivo con variables DB_HOST, DB_NAME, DB_USER, DB_PASS, DB_PORT.","Sprint 9","config,documentation","Baja"
